,t,x,density,u,energy,energy_err,lr_correction,acceptance_rate_displacement,acceptance_rate_swap
0,1.2183,0.5,0.8,-6.991912,-6.840534104086828,0.017637447754306167,-151.9222906615277,0.524164659893668,0.39982694488095
1,1.2183,0.5,0.7,-6.28399,-6.165202896818967,0.016206321890262023,-132.93200432883674,0.606704734205417,0.496359875082052
2,1.2183,0.5,0.65,-5.86756,-5.755000382698143,0.013358234226850594,-123.43686116249125,0.645592770725351,0.539404849521612
3,1.5096,0.25,0.8,-5.87326,-5.770095515865939,0.01683749104035944,-127.1877273361547,0.581054728757668,0.45646768643208085
4,1.5096,0.25,0.7,-5.2830446,-5.18929850304146,0.013574981514565761,-111.28926141913534,0.6520411271727,0.5359636385336065
5,1.5096,0.25,0.6,-4.57915,-4.496678165866352,0.004256448674720936,-95.39079550211606,0.71337500305741,0.6050265550096473
6,1.5096,0.25,0.5,-3.84601,-3.744194994789512,0.009028764596754972,-79.4923295850967,0.768620741027334,0.6672667236886599
7,1.5096,0.25,0.4,-3.145625,-3.0625659840628465,0.009621436608541251,-63.59386366807736,0.812516259864317,0.7167863465478488
8,1.5096,0.25,0.3,-2.446133,-2.315936149881792,0.007309758603592841,-47.69539775105803,0.85386912504697,0.766972331072345
9,1.5096,0.25,0.2,-1.71833,-1.5634718658838844,0.013177941604522733,-31.796931834038674,0.897846916017939,0.8230561136196368
10,1.5096,0.25,0.1,-0.88341,-0.7540551691012838,0.016305680822504467,-15.898465917019347,0.946107305098426,0.8910946233564736
11,1.5096,0.75,0.8,-7.528813,-7.337683683940237,0.010453572023241963,-178.9234450957788,0.513666068526016,0.4023630974877171
12,1.5096,0.75,0.7,-6.89008,-6.74127765861963,0.013307090789325909,-156.55801445880638,0.59955150569123,0.4993833668171782
13,1.5096,0.75,0.6,-6.0058145,-5.886840679436459,0.014665817674222618,-134.19258382183412,0.675006170410048,0.5875420205677003
14,1.5096,0.75,0.55,-5.52616,-5.410653702890696,0.014852028782687345,-123.00986850334797,0.70719013979592,0.6243311519105683
15,1.6438,0.5,0.8,-6.54401,-6.394357885128574,0.019019860433670554,-151.9222906615277,0.557749479128449,0.4403258210172458
16,1.6438,0.5,0.7,-5.95657,-5.836950816506536,0.013006657681474675,-132.93200432883674,0.633923469126825,0.5291707278260697
17,1.6438,0.5,0.6,-5.18836,-5.103247816622887,0.009429572650158194,-113.94171799614583,0.702751891703188,0.6058918306048973
18,1.6438,0.5,0.5,-4.35859,-4.2967131610134635,0.012212677851235598,-94.95143166345483,0.757340564386839,0.6687187953772402
19,1.6438,0.5,0.4,-3.549019,-3.441614177830049,0.008689906174574758,-75.96114533076386,0.80890073311142,0.7258170389672389
20,1.6438,0.5,0.3,-2.768327,-2.6187924148641315,0.01460481900316066,-56.97085899807291,0.85185679312116,0.7742326895152467
21,1.6438,0.5,0.2,-1.936931,-1.7582716394839677,0.016702400788528176,-37.98057266538193,0.896708447569303,0.8260597139617687
22,1.6438,0.5,0.1,-1.004111,-0.8719412344268423,0.018406946799003905,-18.99028633269097,0.943625799651788,0.8937103415352177
